n,tolerance,replicates,rank_mean,rank_se,regret_mean,regret_se,certificate_mean,certificate_se
48,0.02,40,-1.0,0.0,nan,0.0,nan,0.0
48,0.1,40,4.0,0.0,0.002058188639701191,3.1893722454009087e-05,0.07158454157136417,6.225356081597439e-05
48,0.3,40,2.0,0.0,0.061369365961774724,3.036248066326572e-05,0.2764326565566204,0.0003641918466685271
192,0.02,40,5.0,0.0,0.00025450393263115026,1.061011967495481e-05,0.013032096896895296,6.859440407195034e-06
192,0.1,40,3.0,0.0,0.011438126684712724,1.0651157555791456e-05,0.05941342492360115,6.744457949008775e-05
192,0.3,40,2.0,0.0,0.06093137022483493,1.0972444344867046e-05,0.15431919692466287,0.00018898943071423286
768,0.02,40,4.0,0.0,0.0014169503584144036,2.1954185879087177e-06,0.010486816233451365,6.71904716018801e-06
768,0.1,40,3.0,0.0,0.01131641281068072,2.1965336079304916e-06,0.03174158981374694,2.744257760930558e-05
768,0.3,40,2.0,0.0,0.060823630954115714,2.2489984767901716e-06,0.10340353199741097,7.170164807555874e-05
3072,0.02,40,4.0,0.0,0.0013841149900626786,6.558853014993364e-07,0.005086749521867949,3.259968775021218e-06
3072,0.1,40,2.0,0.0,0.06079473080839507,6.521731383117789e-07,0.081092903972445,4.990652964981678e-05
3072,0.3,40,1.0,0.0,0.24694450671294899,5.819668051866791e-07,0.2863826961970741,0.00014207345494030696
12288,0.02,40,3.0,0.0,0.011275957841003669,1.3072190465962613e-07,0.015629652726699715,5.629070055664567e-06
12288,0.1,40,2.0,0.0,0.06078672652223509,1.2756252769502128e-07,0.07071175183991335,1.672587551887729e-05
12288,0.3,40,1.0,0.0,0.24693989538975458,1.292739436140212e-07,0.2665763587506552,5.769529753030154e-05
